0,0
1,3
2,6
3,0
4,3
5,3
6,1
7,0
8,4
9,0
10,2
11,0
12,2
13,2
14,1
15,8
16,0
17,5
18,0
19,2
20,6
21,18
22,0
23,4
24,15
25,0
26,3
27,21
28,0
29,3
30,3
31,1
32,17
33,0
34,5
35,17
36,3
37,6
38,17
39,3
40,3
41,1
42,10
43,0
44,10
45,2
46,26
47,0
48,4
49,25
50,0
51,3
52,11
53,0
54,3
55,3
56,1
57,15
58,33
59,0
60,6
61,23
62,0
63,3
64,8
65,49
66,0
67,4
68,19
69,0
70,3
71,7
72,0
73,3
74,3
75,1
76,19
77,8
78,13
79,0
80,7
81,9
82,0
83,3
84,9
85,3
86,2
87,41
88,0
89,6
90,29
91,0
92,3
93,7
94,13
95,16
96,0
97,5
98,63
99,0
100,3
101,8
102,24
103,0
104,4
105,37
106,0
107,3
108,7
109,15
110,52
111,0
112,5
113,15
114,4
115,10
116,71
117,0
118,6
119,29
120,29
121,1
122,46
123,0
124,6
125,6
126,1
127,5
128,15
129,15
130,1
131,4
132,17
133,94
134,0
135,11
136,83
137,0
138,3
139,31
140,0
141,3
142,3
143,1
144,13
145,50
146,0
147,6
148,22
149,0
150,3
151,8
152,50
153,7
154,45
155,0
156,6
157,9
158,73
159,0
160,4
161,29
162,41
163,75
164,0
165,5
166,38
167,0
168,3
169,18
170,148
171,0
172,4
173,12
174,0
175,3
176,7
177,23
178,116
179,0
180,5
181,15
182,52
183,72
184,0
185,5
186,5
187,1
188,44
189,0
190,5
191,4
192,19
193,116
194,15
195,13
196,51
197,0
198,8
199,47
200,0
201,3
202,26
203,156
204,0
205,4
206,14
207,0
208,3
209,7
210,33
211,152
212,0
213,5
214,23
215,37
216,110
217,0
218,5
219,5
220,1
221,33
222,11
223,87
224,0
225,7
226,16
227,131
228,0
229,4
230,24
231,128
232,0
233,4
234,4
235,1
236,15
237,42
238,0
239,6
240,83
241,104
242,0
243,4
244,9
245,87
246,22
247,98
248,0
249,6
250,10
251,135
252,0
253,4
254,10
255,4
256,2
257,170
258,0
259,6
260,10
261,6
262,2
263,6
264,2
265,2
266,1
267,31
268,128
269,37
270,54
271,0
272,13
273,77
274,0
275,3
276,67
277,0
278,3
279,3
280,1
281,14
282,75
283,119
284,0
285,7
286,60
287,0
288,3
289,9
290,45
291,136
292,0
293,5
294,74
295,0
296,3
297,8
298,99
299,0
300,4
301,45
302,11
303,80
304,0
305,5
306,12
307,133
308,0
309,4
310,9
311,21
312,284
313,0
314,5
315,9
316,5
317,2
318,52
319,136
320,28
321,0
322,8
323,25
324,274
325,0
326,4
327,17
328,195
329,0
